,JAHR,MONAT,ZNR,ZNAME,STRTYP,STRNR,RINAME,FZTYP,DTVMS,DTVMF,DTVMO,DTVDD,DTVFR,DTVSA,DTVSF,TVMAX,TVMAXT,DATUM
61,2024,12,1182,Simmeringer Hptstr.,B,225,Zentrum,LkwÄ,484,639,624,651,623,262,168,850,"*Do,05.12.",2024-12-01
62,2024,12,1182,Simmeringer Hptstr.,B,225,Schwechat,Kfz,9589,10871,10336,10921,11399,8855,6349,12604,"*Fr,13.12.",2024-12-01
63,2024,12,1182,Simmeringer Hptstr.,B,225,Schwechat,LkwÄ,554,754,711,785,722,254,153,960,"*Mi,04.12.",2024-12-01
64,2024,12,1182,Simmeringer Hptstr.,B,225,Gesamt,Kfz,17383,19750,19134,19627,20856,16263,11262,23079,"*Fr,13.12.",2024-12-01
65,2024,12,1182,Simmeringer Hptstr.,B,225,Gesamt,LkwÄ,1038,1393,1336,1436,1346,516,321,1769,"*Mi,04.12.",2024-12-01
66,2024,12,1184,Himberger Straße,G,0,Zentrum,Kfz,4785,5537,5390,5587,5586,4172,2987,6344,"Do,19.12.",2024-12-01
67,2024,12,1184,Himberger Straße,G,0,Zentrum,LkwÄ,169,245,243,263,199,49,18,362,"*Do,12.12.",2024-12-01
68,2024,12,1184,Himberger Straße,G,0,Leopoldsdorf,Kfz,4644,5352,5154,5377,5530,4074,2946,6291,"Fr,20.12.",2024-12-01
69,2024,12,1184,Himberger Straße,G,0,Leopoldsdorf,LkwÄ,150,217,199,223,222,47,19,305,"Di,03.12.",2024-12-01
70,2024,12,1184,Himberger Straße,G,0,Gesamt,Kfz,9429,10889,10544,10964,11116,8245,5933,12351,"Fr,20.12.",2024-12-01
71,2024,12,1184,Himberger Straße,G,0,Gesamt,LkwÄ,319,462,442,486,421,96,37,655,"*Di,03.12.",2024-12-01
72,2024,12,1187,Triester Straße,B,17,Zentrum,Kfz,8917,10222,10351,10015,10629,9526,4842,11522,"Do,19.12.",2024-12-01
73,2024,12,1187,Triester Straße,B,17,Zentrum,LkwÄ,307,421,378,453,387,163,65,555,"*Mi,04.12.",2024-12-01
74,2024,12,1187,Triester Straße,B,17,Wr. Neudorf,Kfz,8009,9234,9257,9157,9416,7920,4561,10381,"*Mi,18.12.",2024-12-01
75,2024,12,1187,Triester Straße,B,17,Wr. Neudorf,LkwÄ,289,398,380,422,353,136,65,525,"Di,03.12.",2024-12-01
76,2024,12,1187,Triester Straße,B,17,Gesamt,Kfz,16926,19455,19608,19171,20045,17447,9403,21697,"Fr,13.12.",2024-12-01
77,2024,12,1187,Triester Straße,B,17,Gesamt,LkwÄ,596,819,759,875,740,300,130,1069,"*Mi,04.12.",2024-12-01
78,2024,12,1188,Altmannsdorfer Straße,B,224,Zentrum,Kfz,8675,10202,10416,10051,10348,8711,4291,11469,"Mi,18.12.",2024-12-01
79,2024,12,1188,Altmannsdorfer Straße,B,224,Zentrum,LkwÄ,337,464,447,502,380,144,83,660,"*Do,12.12.",2024-12-01
80,2024,12,1188,Altmannsdorfer Straße,B,224,Vösendorf,Kfz,8388,9774,9912,9577,10142,8443,4398,11001,"Fr,20.12.",2024-12-01
81,2024,12,1188,Altmannsdorfer Straße,B,224,Vösendorf,LkwÄ,361,499,500,521,440,145,89,690,"*Do,12.12.",2024-12-01
82,2024,12,1188,Altmannsdorfer Straße,B,224,Gesamt,Kfz,17063,19976,20328,19628,20491,17154,8690,22363,"Do,19.12.",2024-12-01
83,2024,12,1188,Altmannsdorfer Straße,B,224,Gesamt,LkwÄ,698,963,947,1023,820,289,172,1350,"*Do,12.12.",2024-12-01
84,2024,12,1189,Shuttleworthstraße,B,229,Zentrum,Kfz,9376,10492,10357,10491,10665,9128,6330,11413,"Mi,18.12.",2024-12-01
85,2024,12,1189,Shuttleworthstraße,B,229,Zentrum,LkwÄ,394,550,543,577,483,159,83,731,"Mo,09.12.",2024-12-01
86,2024,12,1189,Shuttleworthstraße,B,229,Leopoldau,Kfz,9253,10633,10548,10685,10596,8420,5786,11942,"Mi,18.12.",2024-12-01
87,2024,12,1189,Shuttleworthstraße,B,229,Leopoldau,LkwÄ,388,549,538,576,488,142,70,713,"Do,05.12.",2024-12-01
88,2024,12,1189,Shuttleworthstraße,B,229,Gesamt,Kfz,18629,21125,20905,21176,21261,17548,12116,23355,"Mi,18.12.",2024-12-01
89,2024,12,1189,Shuttleworthstraße,B,229,Gesamt,LkwÄ,782,1099,1081,1154,971,301,153,1437,"Mo,09.12.",2024-12-01
90,2024,12,1190,Angyalföldstraße,B,3,Kagran,Kfz,6223,6963,6954,6871,7227,6410,4000,7712,"Fr,13.12.",2024-12-01
91,2024,12,1190,Angyalföldstraße,B,3,Kagran,LkwÄ,188,250,254,255,232,89,65,323,"Mi,04.12.",2024-12-01
92,2024,12,1190,Angyalföldstraße,B,3,Floridsdorf,Kfz,5562,6141,6098,6076,6375,5752,3797,6783,"Fr,13.12.",2024-12-01
93,2024,12,1190,Angyalföldstraße,B,3,Floridsdorf,LkwÄ,133,185,184,194,162,41,35,250,"Di,17.12.",2024-12-01
94,2024,12,1190,Angyalföldstraße,B,3,Gesamt,Kfz,11784,13104,13052,12947,13602,12162,7797,14495,"Fr,13.12.",2024-12-01
95,2024,12,1190,Angyalföldstraße,B,3,Gesamt,LkwÄ,320,435,439,449,394,130,100,546,"Di,17.12.",2024-12-01
96,2024,12,1191,Wientalstraße,B,1,Zentrum,Kfz,23465,25074,24498,24725,26754,23750,18702,28947,"Fr,20.12.",2024-12-01
97,2024,12,1191,Wientalstraße,B,1,Zentrum,LkwÄ,661,856,830,900,766,426,239,1060,"*Do,12.12.",2024-12-01
98,2024,12,1191,Wientalstraße,B,1,St. Pölten,Kfz,22602,23978,23558,23617,25492,23204,18328,27999,"*Fr,13.12.",2024-12-01
99,2024,12,1191,Wientalstraße,B,1,St. Pölten,LkwÄ,587,766,737,808,685,351,211,994,"*Do,12.12.",2024-12-01
100,2024,12,1191,Wientalstraße,B,1,Gesamt,Kfz,46066,49052,48057,48343,52246,46953,37030,56555,"*Fr,13.12.",2024-12-01
101,2024,12,1191,Wientalstraße,B,1,Gesamt,LkwÄ,1248,1621,1566,1708,1451,778,450,2054,"*Do,12.12.",2024-12-01
102,2024,12,1192,Hauptstraße,G,0,Zentrum,Kfz,5197,5872,5831,5806,6107,5431,3135,6586,"Fr,20.12.",2024-12-01
103,2024,12,1192,Hauptstraße,G,0,Zentrum,LkwÄ,279,344,341,351,327,199,141,426,"Mi,04.12.",2024-12-01
104,2024,12,1192,Hauptstraße,G,0,St. Pölten,Kfz,5851,6605,6477,6547,6924,6080,3567,7712,"Fr,20.12.",2024-12-01
105,2024,12,1192,Hauptstraße,G,0,St. Pölten,LkwÄ,284,349,333,360,337,204,146,443,"Di,10.12.",2024-12-01
106,2024,12,1192,Hauptstraße,G,0,Gesamt,Kfz,11048,12477,12308,12353,13030,11511,6702,14298,"Fr,20.12.",2024-12-01
107,2024,12,1192,Hauptstraße,G,0,Gesamt,LkwÄ,563,692,674,711,664,402,287,867,"Di,10.12.",2024-12-01
108,2024,12,1193,Heiligenstädter Straße,B,14,Zentrum,Kfz,14859,16545,15882,16836,16572,13658,10728,18697,"Do,19.12.",2024-12-01
109,2024,12,1193,Heiligenstädter Straße,B,14,Zentrum,LkwÄ,514,694,684,736,593,266,142,911,"Do,12.12.",2024-12-01
110,2024,12,1193,Heiligenstädter Straße,B,14,Klosterneuburg,Kfz,14700,16358,15738,16676,16260,13427,10689,18455,"Mi,18.12.",2024-12-01
111,2024,12,1193,Heiligenstädter Straße,B,14,Klosterneuburg,LkwÄ,515,696,685,738,596,270,136,898,"Do,12.12.",2024-12-01
112,2024,12,1193,Heiligenstädter Straße,B,14,Gesamt,Kfz,29559,32903,31620,33512,32833,27085,21417,37137,"Mi,18.12.",2024-12-01
113,2024,12,1193,Heiligenstädter Straße,B,14,Gesamt,LkwÄ,1029,1390,1368,1474,1189,536,278,1809,"Do,12.12.",2024-12-01
114,2024,12,1194,Prager Straße,B,3,Zentrum,Kfz,4887,5740,5944,5493,6167,5467,2118,6869,"Fr,20.12.",2024-12-01
115,2024,12,1194,Prager Straße,B,3,Zentrum,LkwÄ,148,201,208,200,194,70,41,250,"Mi,04.12.",2024-12-01
116,2024,12,1194,Prager Straße,B,3,Langenzersd.,Kfz,4775,5666,6112,5349,5982,5192,1989,7356,"Mo,23.12.",2024-12-01
117,2024,12,1194,Prager Straße,B,3,Langenzersd.,LkwÄ,142,194,198,192,194,66,37,236,"Mo,09.12.",2024-12-01
118,2024,12,1194,Prager Straße,B,3,Gesamt,Kfz,9662,11407,12056,10842,12149,10660,4106,13531,"*Mo,23.12.",2024-12-01
119,2024,12,1194,Prager Straße,B,3,Gesamt,LkwÄ,290,395,406,392,388,136,78,481,"Mi,04.12.",2024-12-01
